Country,max temp,min temp,avg temp,avg rainfall,Cost of Living pw,pop2020,pop2019,GrowthRate,area,Density,Crime Index,Safety Index,Health Care Index,Pollution Index,CPI score 2020,Score,Political Rights,Civil Liberties
Afghanistan,35.38888889,-3.555555556,14.05555556,353.06,336.49600418506765,38928.346,38041.754,1.0233,652230.0,58.3257,76.37,23.63,,92.2,19.0,27.0,13.0,14.0
Albania,29.88888889,4.166666667,14.16666667,1229.36,476.65768397331567,2877.797,2880.917,0.9989,28748.0,100.2128,41.64,58.36,50.66,78.59,36.0,66.0,27.0,39.0
Algeria,34.27777778,4.555555556,17.44444444,462.28,274.58911940140695,43851.044,43053.054,1.0185,2381741.0,18.0763,51.88,48.12,55.01,65.32,36.0,32.0,10.0,22.0
American Samoa,30.83333333,17.05555556,27.11111111,3507.74,,55.191,55.312,0.9978,199.0,277.9497,,,,,,,,
Andorra,20.38888889,-5.055555556,5.666666667,1143.0,839.36013582814,77.265,77.142,1.0016,468.0,164.8333,,,,,,93.0,38.0,55.0
Angola,28.72222222,11.16666667,21.27777778,993.14,3615.964339675875,32866.272,31825.295,1.0327,1246700.0,25.5276,66.63,33.37,,,27.0,31.0,10.0,21.0
Anguilla,31.11111111,23.33333333,27.66666667,1092.2,,15.003,14.869,1.009,91.0,163.3956,,,,,,,,
Antarctica,-3.388888889,-30.77777778,-13.88888889,416.56,,,,,,,,,,,,,,
Antigua And Barbuda,30.05555556,22.33333333,26.44444444,739.14,,97.929,97.118,1.0084,442.0,219.724,,,,,,85.0,33.0,52.0
Thailand,34.88888889,18.22222222,27.05555556,1615.44,622.4945378529995,69799.978,69625.582,1.0025,513120.0,135.6906,39.38,60.62,78.08,75.39,36.0,30.0,5.0,25.0
Armenia,26.61111111,-12.22222222,7.055555556,444.5,498.6923410932676,2963.243,2957.731,1.0019,29743.0,99.4429,23.35,76.65,,60.23,49.0,55.0,22.0,33.0
Aruba,31.16666667,23.94444444,28.0,480.06,1240.9312211835058,106.766,106.314,1.0043,180.0,590.6333,,,,,,,,
Ascension Island,29.44444444,22.22222222,25.55555556,,,,,,,,,,,,,,,
Vietnam,31.77777778,17.11111111,24.72222222,1943.1,,97338.579,96462.106,1.0091,331212.0,291.2398,46.09,53.91,58.28,85.92,36.0,19.0,3.0,16.0
Austria,22.66666667,-5.611111111,7.0,998.22,1123.655681950202,9006.398,8955.102,1.0057,83871.0,106.7723,25.23,74.77,78.4,19.2,76.0,93.0,37.0,56.0
Azerbaijan,30.66666667,-4.222222222,13.0,480.06,413.1767444071442,10139.177,10047.718,1.0091,86600.0,116.0245,31.66,68.34,44.02,75.44,30.0,10.0,2.0,8.0
Bahrain,37.5,14.16666667,25.83333333,73.66,1155.035553161308,1701.575,1641.172,1.0368,765.0,2145.3229,26.15,73.85,,71.57,42.0,12.0,2.0,10.0
Bangladesh,33.16666667,12.22222222,25.33333333,2339.34,293.593415342844,164689.383,163046.161,1.0101,147570.0,1104.8734,64.22,35.78,42.7,84.91,26.0,39.0,15.0,24.0
