Country,max temp,min temp,avg temp,avg rainfall
Afghanistan,35.38888889,-3.555555556,14.05555556,353.06
Albania,29.88888889,4.166666667,14.16666667,1229.36
Algeria,34.27777778,4.555555556,17.44444444,462.28
American samoa,30.83333333,17.05555556,27.11111111,3507.74
Andorra,20.38888889,-5.055555556,5.666666667,1143
Angola,28.72222222,11.16666667,21.27777778,993.14
Anguilla,31.11111111,23.33333333,27.66666667,1092.2
Antarctica,-3.388888889,-30.77777778,-13.88888889,416.56
Antigua and barbuda,30.05555556,22.33333333,26.44444444,739.14
Thailand,34.88888889,18.22222222,27.05555556,1615.44
Armenia,26.61111111,-12.22222222,7.055555556,444.5
Aruba,31.16666667,23.94444444,28,480.06
Ascension island,29.44444444,22.22222222,25.55555556,
Vietnam,31.77777778,17.11111111,24.72222222,1943.1
Austria,22.66666667,-5.611111111,7,998.22
Azerbaijan,30.66666667,-4.222222222,13,480.06
Bahrain,37.5,14.16666667,25.83333333,73.66
Bangladesh,33.16666667,12.22222222,25.33333333,2339.34
Barbados,30.55555556,21.66666667,26.5,1280.16
Belarus,23.16666667,-7.722222222,5.944444444,645.16
Belgium,21.44444444,-0.777777778,9.333333333,840.74
Belize,32.05555556,19.05555556,25,1727.2
Benin,34.88888889,20.88888889,26.94444444,1107.44
Bermuda,29.77777778,15.77777778,21.77777778,1501.14
Bhutan,26.16666667,1,15.61111111,1084.58
Panama,31.44444444,23.16666667,25.94444444,2237.74
Bosnia and herzegovina,25.05555556,-2.666666667,9.888888889,1061.72
Botswana,32.11111111,5.277777778,20.94444444,441.96
Brazil,32.27777778,17.94444444,24.5,952.5
British indian ocean territory,30.55555556,22.77777778,25.55555556,2506.98
British virgin islands,30.83333333,21.38888889,25.55555556,1051.56
Brunei,31.66666667,23.33333333,27.22222222,2839.72
Bulgaria,26.05555556,-3.777777778,9.666666667,627.38
Burkina faso,38.27777778,18.11111111,28.27777778,789.94
Burundi,27.05555556,13.27777778,20,1231.9
Cambodia,34.72222222,20.38888889,27,1760.22
Cameroon,31.22222222,17.33333333,23.83333333,1930.4
Mexico,31.38888889,8.277777778,20.61111111,934.72
Cape verde,28.88888889,18.05555556,22.66666667,177.8
Cayman islands,31.27777778,21.66666667,26.77777778,1303.02
Central african republic,34.72222222,17,24.88888889,1460.5
Chad,40,15.44444444,27.27777778,695.96
Channel islands,19.77777778,4.166666667,10.72222222,482.6
Singapore,31.11111111,22.77777778,26.44444444,2245.36
China,28.5,-7.777777778,12.94444444,975.36
Christmas island,27.77777778,21.66666667,25,2103.12
Cocos islands,29.44444444,23.33333333,26.11111111,1953.26
Costa rica,30.94444444,19.27777778,24.72222222,1529.08
Comoros,29.61111111,18.44444444,23.72222222,2334.26
Cook islands,29.61111111,22.66666667,25.94444444,2159
Puerto rico,30.94444444,18,24.61111111,1666.24
Cote d'ivoire,32.94444444,19.83333333,26.22222222,1379.22
Croatia,27.33333333,0.833333333,12.83333333,1043.94
Cuba,31.27777778,18.94444444,25.27777778,1120.14
Curaçao,31.66666667,24.44444444,27.5,541.02
Cyprus,31.77777778,7.555555556,18.94444444,391.16
Czech republic,20.94444444,-5.277777778,6.944444444,695.96
Democratic republic of the congo,30.27777778,16.55555556,23.5,1501.14
Denmark,19.88888889,-1.666666667,7.777777778,607.06
Djibouti,37.5,19.44444444,28.5,177.8
Dominica,,,25,1935.48
Dominican republic,30.61111111,19.44444444,24.72222222,1363.98
East timor,32.22222222,22.22222222,24.05555556,1244.6
Fiji,30.22222222,20.72222222,24.94444444,2593.34
Egypt,34.55555556,8.611111111,21.77777778,50.8
El salvador,31.66666667,18.61111111,23.16666667,1643.38
Equatorial guinea,30.77777778,19.72222222,24.44444444,2461.26
Eritrea,33.61111111,17.77777778,23.38888889,347.98
Estonia,21.11111111,-7.777777778,5.5,650.24
