Category,Lower Units pw,Upper Units pw
"Meal, Inexpensive Restaurant",2,8
"Meal for 2 People, Mid-range Restaurant, Three-course",0,2
McMeal at McDonalds (or Equivalent Combo Meal),0,1
Domestic Beer (0.5 liter draught),0,2
Imported Beer (0.33 liter bottle),0,2
Cappuccino (regular),2,4
Coke/Pepsi (0.33 liter bottle),0,0
Water (0.33 liter bottle),0,0
"Milk (regular), (1 liter)",1,2
Loaf of Fresh White Bread (500g),1,2
"Rice (white), (1kg)",0.5,1
Eggs (regular) (12),1,2
Local Cheese (1kg),0.2,0.4
Chicken Fillets (1kg),1,2
Beef Round (1kg) (or Equivalent Back Leg Red Meat),0.5,1.5
Apples (1kg),0,1
Banana (1kg),1,1.5
Oranges (1kg),0.5,1
Tomato (1kg),0,1
Potato (1kg),0.5,1
Onion (1kg),1,2
Lettuce (1 head),0,1
Water (1.5 liter bottle),0,0
Bottle of Wine (Mid-Range),0,2
Cigarettes 20 Pack (Marlboro),0,0
One-way Ticket (Local Transport),0,0
Monthly Pass (Regular Price),0,0
Taxi Start (Normal Tariff),0,0
Taxi 1km (Normal Tariff),0,0
Taxi 1hour Waiting (Normal Tariff),0,0
Gasoline (1 liter),10,20
Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),0,0
Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),0,0
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",0.23,0.23
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),20,40
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",0.23,0.23
"Fitness Club, Monthly Fee for 1 Adult",0,2
Tennis Court Rent (1 Hour on Weekend),0,2
"Cinema, International Release, 1 Seat",0,2
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",0,0
"International Primary School, Yearly for 1 Child",0,0
1 Pair of Jeans (Levis 501 Or Similar),0.02,0.06
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",0.02,0.06
1 Pair of Nike Running Shoes (Mid-Range),0.02,0.04
1 Pair of Men Leather Business Shoes,0.02,0.04
Apartment (1 bedroom) in City Centre,0,0
Apartment (1 bedroom) Outside of Centre,0,0
Apartment (3 bedrooms) in City Centre,0,0
Apartment (3 bedrooms) Outside of Centre,0.23,0.23
Price per Square Meter to Buy Apartment in City Centre,0,0
Price per Square Meter to Buy Apartment Outside of Centre,0,0
Average Monthly Net Salary (After Tax),0,0
