Country,Pollution Index
Afghanistan,92.20
Mongolia,91.84
Myanmar,89.77
Lebanon,89.35
Ghana,88.98
Nigeria,87.35
Monaco,86.76
Vietnam,85.92
Bangladesh,84.91
Egypt,84.35
Nepal,84.26
Peru,82.69
China,81.47
North Macedonia,80.03
India,79.62
Chile,78.96
Laos,78.76
Albania,78.59
Cambodia,78.21
Malta,77.76
Ethiopia,77.74
Iran,76.13
Jordan,76.09
Kenya,75.88
Azerbaijan,75.44
Thailand,75.39
Venezuela,75.12
Dominican Republic,75.08
Zimbabwe,74.44
Philippines,74.06
Iraq,73.57
Pakistan,73.36
Bolivia,73.25
Syria,72.62
Kazakhstan,72.62
Guatemala,72.49
Bahrain,71.57
Tunisia,70.85
Morocco,70.38
Georgia,69.70
Trinidad And Tobago,67.44
Hong Kong,67.30
Indonesia,67.08
Kuwait,66.72
Jamaica,66.27
Turkey,66.15
Algeria,65.32
Bulgaria,64.48
Tanzania,64.38
Ukraine,64.31
Saudi Arabia,64.13
Taiwan,62.92
Colombia,62.88
Malaysia,62.58
Russia,62.32
South Korea,61.85
Mexico,61.24
Serbia,61.20
Bosnia And Herzegovina,60.71
Armenia,60.23
Qatar,60.18
Sri Lanka,59.92
Panama,59.77
Israel,58.42
Romania,58.42
Ecuador,58.34
Libya,57.78
South Africa,56.96
Cyprus,56.77
Mauritius,56.19
Brazil,54.53
Poland,54.33
Italy,53.93
Greece,51.95
Argentina,50.73
Puerto Rico,50.45
United Arab Emirates,50.44
Belgium,50.27
Hungary,47.81
Montenegro,46.91
Uruguay,45.67
Belarus,44.47
Costa Rica,44.07
France,41.79
United Kingdom,40.25
Spain,39.62
Japan,39.40
Slovakia,39.08
United States,38.89
Oman,37.59
Czech Republic,36.30
Latvia,33.91
Ireland,33.59
Singapore,33.16
Croatia,30.58
Portugal,29.57
Canada,28.13
Germany,27.48
Lithuania,27.01
Netherlands,25.28
New Zealand,23.81
Australia,23.48
Luxembourg,23.27
Slovenia,22.65
Denmark,20.40
Switzerland,20.09
Austria,19.20
Estonia,19.01
Sweden,18.44
Norway,18.14
Iceland,16.24
Finland,11.86
