Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,
Aruba,0.945131435,0.96552182,0.979810965,1.0078286,1.048954376,1.062041604,1.077155771,1.098134595,1.157247616,1.165872741,1.152334116,1.191074341,1.225613635,1.228513705,1.222277975,1.2248603,1.223898374,1.262795748,1.301539192,1.314000445,1.290071386,1.302940607,1.317801356,1.285140992,1.308842779,1.36231792,1.355044602,1.35068965,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,9.190296719,10.07435732,10.91599974,11.74149722,12.21714022,14.57778776,14.59940268,14.17549154,14.54672831,16.61347779,17.24226402,17.50941893,17.03587758,17.02251989,17.44582787,17.20555793,17.15017262,17.94821498,18.70830282,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,1.06E-08,2.11E-08,1.19E-07,1.18E-06,2.64E-05,0.000497458,0.023939749,0.045997781,0.063388755,0.410849905,2.081743688,4.203521249,10.03391,19.1036725,24.82366879,34.27518573,38.96333527,39.57883998,46.34378151,38.28420309,50.05276312,64.6057518,65.68166932,66.01937312,65.00067341,68.18204442,80.77896774,92.9517219,117.1561333,147.4341519,167.6614299,,,,,,,,,,,,,,,,,,,,
Albania,2.338548664,3.065402201,9.979886537,21.99848928,29.25851292,31.47720443,35.42455712,38.73816772,40.72008088,41.10161367,42.00700744,42.80558048,42.92630695,44.63893928,44.93597612,45.52727735,44.47164726,44.68905845,44.56126825,44.30554557,44.1623569,43.85783325,43.65499908,44.11370926,42.89380664,42.70583122,42.38587909,42.25555058,42.12577087,41.34246423,41.00808368,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,1.167017196,1.137995705,1.132743131,1.120668228,1.094358066,1.113766089,1.156881439,1.126440215,1.066512614,1.140101476,1.242965633,1.187712949,1.213308042,1.239696537,1.309825101,1.480183941,1.608567216,1.762829874,2.049672526,1.725318197,1.918458625,2.126608374,2.177724601,2.213315962,2.182567121,2.187784673,2.189752101,2.221791985,2.347755013,2.26275575,,,,,,,,,,,,,,,,,,,,,
Argentina,0.293642788,0.683116557,0.775239997,0.730329409,0.73543466,0.743129894,0.729385404,0.713694801,0.693716389,0.671283863,0.663416498,0.642063804,0.825195079,0.895180745,1.031788032,1.103858329,1.218660908,1.364084812,1.648101411,1.88715395,2.255571483,2.73312783,3.218153713,3.940966839,5.45196391,6.866548082,9.294965784,10.25682158,14.02408241,20.75296144,28.67379648,,,,,,,,,,,,,,,,,,,,
Armenia,0.005126002,0.008894544,0.058161904,0.847217887,34.89972976,89.27358264,104.8441345,121.3467941,132.8340015,131.0138811,126.3887916,128.6576733,129.6400609,133.1292373,137.7785849,137.9039482,140.034625,142.2051121,147.8467598,150.3923586,160.2090664,163.6499972,157.9638335,159.8460874,165.1858853,172.9235299,161.2288736,155.9707149,156.5597437,156.0637964,157.0910014,,,,,,,,,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,1.758676621,1.745486702,1.74859938,1.73910139,1.757988354,1.763266483,1.783112832,1.784916508,1.802291428,1.803364724,1.74285929,1.73073631,1.715743658,1.669893006,1.651148867,1.672713176,1.630199253,1.646834449,1.686178398,1.704160751,1.709350908,1.691376685,1.828571322,1.854414701,1.914715053,2.039541247,2.060043096,2.093501093,2.090438263,2.057257559,2.059665893,,,,,,,,,,,,,,,,,,,,
Australia,1.365519,1.348412001,1.328550001,1.312794001,1.301014,1.310865001,1.312182,1.308112001,1.300300001,1.29695,1.311473,1.326806,1.33649,1.353924001,1.366397,1.388355999,1.404001,1.427582,1.479073001,1.441497001,1.502766,1.511051999,1.540114999,1.447123,1.452489001,1.473691001,1.450156,1.477553001,1.472427,1.474643,1.471741,,,,,,,,,,,,,,,,,,,,
Austria,0.922246,0.924566,0.935415,0.938959,0.94254,0.939929,0.936118,0.931829,0.922801,0.923906,0.907226,0.922769,0.899797,0.889084,0.878806,0.881939,0.861176,0.869233,0.854424,0.843111,0.841548,0.831374,0.813648,0.797081,0.798797,0.798813,0.776931,0.775009,0.764069,0.763387,0.764401,,,,,,,,,,,,,,,,,,,,
Azerbaijan,7.63E-06,1.36E-05,0.000154566,0.001279059,0.018610279,0.117690677,0.146108281,0.156906661,0.153662794,0.154750905,0.170277084,0.170812916,0.175239754,0.184021553,0.195776447,0.21781672,0.235370785,0.276391295,0.346952129,0.279253069,0.314204734,0.383509785,0.369043291,0.359447956,0.35480395,0.377257109,0.430901468,0.505471647,0.553764715,0.542844829,0.495733279,,,,,,,,,,,,,,,,,,,,
Burundi,71.1482524,71.63783578,73.82513027,77.70021656,81.12595689,92.25499909,103.6901241,134.9562634,148.7354438,168.5441076,186.5851961,207.6239084,206.4917709,226.944174,250.0468213,288.1829431,287.6778928,303.3303243,369.5950421,405.1614325,434.7831758,461.509209,527.053109,539.3112025,547.0995245,570.658997,585.8931003,654.8960025,621.308264,615.4304413,680.4128201,,,,,,,,,,,,,,,,,,,,
Belgium,0.915381,0.910908,0.921111,0.935723,0.935347,0.927321,0.929897,0.927803,0.935637,0.931348,0.899723,0.892244,0.8733,0.877016,0.889063,0.891788,0.87544,0.880041,0.86694,0.849484,0.835934,0.831911,0.822137,0.806166,0.800214,0.799998,0.781011,0.775634,0.765017,0.757838,0.75128,,,,,,,,,,,,,,,,,,,,
Benin,86.07063042,83.88506639,84.49709064,84.50455949,110.4582415,124.5257437,130.7333264,133.2305682,138.6402415,202.7353458,206.9107786,206.4589868,210.4678722,212.9569844,208.9702136,211.3589812,209.4471997,204.7638305,213.7803223,217.5512045,216.9396925,220.4335752,234.0041765,231.4771949,225.0442268,220.5238942,214.4338881,216.7735939,212.9395712,208.5402226,211.9744359,,,,,,,,,,,,,,,,,,,,
Burkina Faso,162.4394771,150.891444,147.86438,142.359515,159.7873933,167.1005153,164.6680629,164.3958125,175.4743378,203.0590027,196.9907302,200.3989944,203.3093062,202.5660664,197.4343407,198.6299302,191.5176452,191.1559775,204.6840722,208.0219072,213.397751,223.1158259,238.9786626,231.0792324,231.3259255,225.4159149,215.1966725,208.7571974,208.0071954,203.0663011,209.844696,,,,,,,,,,,,,,,,,,,,
