Country,max temp,min temp,avg temp,avg rainfall,Cost of Living pw,pop2020,pop2019,GrowthRate,area,Density,Crime Index,Safety Index,Health Care Index,Pollution Index,CPI score 2020,Score,Political Rights,Civil Liberties,score_temp_variability,score_temp_optimality,score_sunshine,score_density,score_safety,score_corruption,score_healthcare,score_air_purity,score_freedom,score_ppp,score_income_proxy,utility_score,data_completeness
Colombia,29.27777778,19.88888889,23.11111111,1783.08,442.45429962121,50882.891,50339.443,1.0108,1141748.0,44.0898,55.77,44.23,66.72,62.88,39.0,65.0,29.0,36.0,100.0,100.0,,97.06067999999999,44.23,39.0,66.72,37.12,77.5,38.436936970227684,95.25152334595967,77.4718212697617,10
Panama,31.44444444,23.16666667,25.94444444,2237.74,890.1697665964235,4314.767,4246.439,1.0161,75417.0,56.3061,45.85,54.15,60.43,59.77,35.0,83.0,35.0,48.0,100.0,78.33333339999997,,96.24626,54.15,35.0,60.43,40.23,100.0,100.0,72.18997903351705,77.28518162084481,10
Costa Rica,30.94444444,19.27777778,24.72222222,1529.08,794.0668545667932,5094.118,5047.561,1.0092,51100.0,98.7781,55.34,44.66,62.92,44.07,57.0,91.0,38.0,53.0,86.66666672,85.83333339999997,,93.41479333333334,44.66,57.0,62.92,55.93,100.0,74.85442016215885,78.08857728606456,75.95486195009728,10
Ecuador,27.72222222,18.22222222,19.44444444,1036.32,565.966229510723,17643.054,17373.662,1.0155,276841.0,62.7568,54.41,45.59,68.81,58.34,39.0,67.0,27.0,40.0,100.0,87.55555552000001,,95.81621333333334,45.59,39.0,68.81,41.66,80.5,29.271668038795877,91.13445901630924,74.61354904427739,10
Mauritius,28.83333333,18.61111111,23.77777778,1549.4,662.0581646630776,1271.768,1269.668,1.0017,2040.0,622.3863,47.89,52.11,,56.19,53.0,87.0,37.0,50.0,98.22222224000001,100.0,,56.97240714285714,52.11,53.0,,43.81,100.0,48.234204266843726,86.19099802589673,74.13783670472486,9
Indonesia,31.11111111,21.77777778,26.33333333,2362.2,485.8339616919646,273523.615,270625.568,1.0107,1904569.0,142.0928,46.23,53.77,60.49,67.08,37.0,59.0,30.0,29.0,100.0,83.33333335,,90.52714666666667,53.77,37.0,60.49,32.92,68.5,50.38335081077164,93.80553461026784,73.92704367579414,10
Sri Lanka,31.16666667,21.83333333,25.38888889,1841.5,323.7075023924327,21413.249,21323.733,1.0042,65610.0,325.0074,41.19,58.81,72.63,59.92,38.0,56.0,23.0,33.0,100.0,82.49999994999997,,78.21375714285715,58.81,38.0,72.63,40.08,64.0,19.123430990277456,99.20974992025225,72.97668361739917,10
Guatemala,29.88888889,19.33333333,20.72222222,1584.96,632.8568256789484,17915.568,17581.472,1.019,108889.0,161.4623,58.15,41.85,65.94,72.49,25.0,52.0,21.0,31.0,95.55555551999998,97.77777775999999,,89.23584666666667,41.85,25.0,65.94,27.510000000000005,58.0,41.517745739151856,87.98331590124607,72.22209842419154,10
Malaysia,31.38888889,22.22222222,26.27777778,2669.54,450.9310224929818,32365.999,31949.777,1.013,330803.0,96.5825,57.89,42.11,69.59,62.58,51.0,51.0,21.0,30.0,100.0,79.16666665,,93.56116666666667,42.11,51.0,69.59,37.42,56.5,29.50723978610584,94.9689659169006,71.49066910279205,10
Singapore,31.11111111,22.77777778,26.44444444,2245.36,1583.1703774436469,5850.342,5804.337,1.0079,710.0,8175.1225,32.98,67.02,70.88,33.16,85.0,48.0,19.0,29.0,100.0,83.33333335,,0.0,67.02,85.0,70.88,66.84,52.0,55.425827153235915,36.75919240058933,71.41323039242658,10
